Entry	Base_Accession	Protein_Family	Gene_Name
A8K6U0	A8K6U0	Not available	Not available
A8K7I4	A8K7I4	CLCR family	CLCA1
A8K830	A8K830	POU2AF family	POU2AF3
A8K8P3	A8K8P3	SFI1 family	SFI1
A8K8R5	A8K8R5	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Not available
A8K8V0	A8K8V0	Krueppel C2H2-type zinc-finger protein family	ZNF785
A8K8W7	A8K8W7	'GDXG' lipolytic enzyme family	Not available
A8K9G9	A8K9G9	PI3/PI4-kinase family, Type III PI4K subfamily	Not available
A8KA13	A8KA13	Not available	BCL6B
A8KA38	A8KA38	Not available	Not available
A8MPY1	A8MPY1	Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRR3 sub-subfamily	GABRR3
A8MQ03	A8MQ03	CYSRT1 family	CYSRT1
A8MQ27	A8MQ27	Not available	NEURL1B
A8MQB8	A8MQB8	FMR1 family	FMR1
A8MT69	A8MT69	CENP-X/MHF2 family	CENPX
A8MTA8	A8MTA8	CIMIP2 family	CIMIP2B
A8MTJ3	A8MTJ3	G-alpha family, G(i/o/t/z) subfamily	GNAT3
A8MTJ6	A8MTJ6	Not available	FOXI3
A8MTQ0	A8MTQ0	Not available	NOTO
A8MTZ0	A8MTZ0	BBIP10 family	BBIP1
A8MUP2	A8MUP2	Methyltransferase superfamily	CSKMT
A8MV65	A8MV65	Vestigial family	VGLL3
A8MV65-2	A8MV65	Vestigial family	VGLL3
A8MVW5	A8MVW5	Not available	HEPACAM2
A8MW92	A8MW92	Not available	PHF20L1
A8MW95	A8MW95	Beclin family	BECN2
A8MW99	A8MW99	MEI4L family	MEI4
A8MXD5	A8MXD5	GRXCR1 family	GRXCR1
A8MXV4	A8MXV4	Nudix hydrolase family	NUDT19
A8MYU2	A8MYU2	Potassium channel family, Calcium-activated (TC 1.A.1.3) subfamily, KCa5.1/KCNU1 sub-subfamily	KCNU1
A8MZ59	A8MZ59	Paired homeobox family	LEUTX
A8TX70	A8TX70	Type VI collagen family	COL6A5
A9QM74	A9QM74	Importin alpha family	KPNA7
A9UF02	A9UF02	Not available	BCR/ABL
A9UF07	A9UF07	Not available	BCR/ABL
A9UGY9	A9UGY9	ATG5 family	ATG5
A9UHW6	A9UHW6	MIF4GD family	MIF4GD
A9YTQ3	A9YTQ3	Not available	AHRR
B0I1T2	B0I1T2	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	MYO1G
B0L3A2	B0L3A2	Not available	FBXW7-AS1
B0LPE5	B0LPE5	Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily	AKT1
B0YJ81	B0YJ81	Very long-chain fatty acids dehydratase HACD family	HACD1
B1AHC9	B1AHC9	Ku70 family	XRCC6
B1AK53	B1AK53	Not available	ESPN
B1AL88	B1AL88	NALF family	NALF1
B1ALH6	B1ALH6	PhyH family	PHYH
B2CQT6	B2CQT6	Major facilitator superfamily, Proton-dependent oligopeptide transporter (POT/PTR) (TC 2.A.17) family	Not available
B2R5W3	B2R5W3	ARTD/PARP family	Not available
B2R6A7	B2R6A7	Glycosyl hydrolase 30 family	Not available
B2R6F7	B2R6F7	Lipoxygenase family	Not available
B2R6Q2	B2R6Q2	Alkaline phosphatase family	Not available
B2R761	B2R761	Thiolase-like superfamily, Thiolase family	Not available
B2R7K8	B2R7K8	Glycosyltransferase 29 family	Not available
B2R8A7	B2R8A7	MYST (SAS/MOZ) family	Not available
B2R9K2	B2R9K2	Cytochrome P450 family	Not available
B2RA25	B2RA25	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	Not available
B2RBH2	B2RBH2	5'-nucleotidase family	Not available
B2RBJ5	B2RBJ5	Class-III pyridoxal-phosphate-dependent aminotransferase family	AGXT2
B2RBY8	B2RBY8	Nucleotide pyrophosphatase/phosphodiesterase family	Not available
B2RCJ5	B2RCJ5	Peptidase M2 family	Not available
B2RDY3	B2RDY3	AAA ATPase family, Katanin p60 subunit A1 subfamily, A-like 1 sub-subfamily	KATNAL1
B2RNB2	B2RNB2	Not available	ADAM17
B2RPK0	B2RPK0	HMGB family	HMGB1P1
B2RTY4	B2RTY4	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	MYO9A
B2RUY7	B2RUY7	Not available	VWC2L
B2RUZ4	B2RUZ4	SMIM1 family	SMIM1
B2RWP8	B2RWP8	'GDSL' lipolytic enzyme family, Phospholipase B1 subfamily	PLB1
B2RXF5	B2RXF5	Krueppel C2H2-type zinc-finger protein family, ZBTB18 subfamily	ZBTB42
B2RXH2	B2RXH2	JHDM3 histone demethylase family	KDM4E
B3KN25	B3KN25	CDP-alcohol phosphatidyltransferase class-I family	Not available
B3KP51	B3KP51	Class-III pyridoxal-phosphate-dependent aminotransferase family	Not available
B3KP56	B3KP56	Class-III pyridoxal-phosphate-dependent aminotransferase family	Not available
B3KQM3	B3KQM3	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Not available
B3KR54	B3KR54	Glycosyl hydrolase 33 family	NEU4
B3KRC6	B3KRC6	Cytochrome P450 family	Not available
B3KU38	B3KU38	Not available	IQCJ-SCHIP1
B3KU52	B3KU52	Not available	Not available
B3KUK7	B3KUK7	AAA ATPase family, Katanin p60 subunit A1 subfamily, A-like 1 sub-subfamily	KATNA1
B3KWH9	B3KWH9	ELO family, ELOVL5 subfamily	ELOVL5
B3KX59	B3KX59	PI3/PI4-kinase family	Not available
B3KXG9	B3KXG9	Glycosyltransferase 29 family	Not available
B3VK56	B3VK56	NOS family	NOS1
B4DDT1	B4DDT1	AB hydrolase superfamily, Lipase family	Not available
B4DE54	B4DE54	BANP/SMAR1 family	BANP
B4DE91	B4DE91	Aldehyde dehydrogenase family	Not available
B4DFE9	B4DFE9	AB hydrolase superfamily, Epoxide hydrolase family	Not available
B4DFN3	B4DFN3	Polycystin family	Not available
B4DFN9	B4DFN9	Heat shock protein 70 family	Not available
B4DFY5	B4DFY5	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	MAP2K1
B4DGD0	B4DGD0	APP family	Not available
B4DHN0	B4DHN0	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily; Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily	Not available
B4DHT6	B4DHT6	Glycosyl hydrolase 30 family	Not available
B4DI39	B4DI39	Heat shock protein 70 family	Not available
B4DIT7	B4DIT7	Transglutaminase superfamily, Transglutaminase family	Not available
B4DJ51	B4DJ51	Calmodulin family	HEL-S-72
B4DJT9	B4DJT9	APP family	Not available
B4DKE0	B4DKE0	Peptidyl-alpha-hydroxyglycine alpha-amidating lyase family; Copper type II ascorbate-dependent monooxygenase family	Not available
B4DKH4	B4DKH4	Peptidase M2 family	Not available
B4DMV8	B4DMV8	Glycosyl hydrolase 30 family	Not available
B4DNT8	B4DNT8	Heat shock protein 70 family	Not available
B4DNX1	B4DNX1	Heat shock protein 70 family	Not available
B4DPR3	B4DPR3	Cytochrome P450 family	Not available
B4DQM1	B4DQM1	APP family	Not available
B4DSX9	B4DSX9	Type-B carboxylesterase/lipase family	Not available
B4DTN7	B4DTN7	Transglutaminase superfamily, Transglutaminase family	Not available
B4DU07	B4DU07	Acyl-CoA oxidase family	Not available
B4DU66	B4DU66	Peptidase M2 family	Not available
B4DWK5	B4DWK5	Heat shock protein 70 family	Not available
B4DX14	B4DX14	Aldehyde dehydrogenase family	Not available
B4DXK6	B4DXK6	Peptidase M2 family	Not available
B4DY26	B4DY26	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Not available
B4DZI4	B4DZI4	Not available	Not available
B4E0E1	B4E0E1	ARTD/PARP family	Not available
B4E1K5	B4E1K5	ERG4/ERG24 family	Not available
B4E2Z8	B4E2Z8	AGK family	Not available
B4E388	B4E388	Heat shock protein 70 family	Not available
B4E3B0	B4E3B0	NAPE-PLD family	Not available
B5MCS1	B5MCS1	Sirtuin family, Class I subfamily	SIRT2
B6A8C7	B6A8C7	Not available	TARM1
B7U540	B7U540	Inward rectifier-type potassium channel (TC 1.A.2.1) family, KCNJ12 subfamily	KCNJ18
B7Z3M3	B7Z3M3	Class-III pyridoxal-phosphate-dependent aminotransferase family	Not available
B7Z451	B7Z451	Lipoxygenase family	Not available
B7Z542	B7Z542	Glycosyl hydrolase 33 family	Not available
B7Z6E6	B7Z6E6	Glycosyl hydrolase 30 family	Not available
B7Z6S9	B7Z6S9	Glycosyl hydrolase 30 family	Not available
B7Z731	B7Z731	Glycosyl hydrolase 30 family	Not available
B7Z7G9	B7Z7G9	Glycosyl hydrolase 30 family	Not available
B7Z965	B7Z965	HMGB family	Not available
B7ZAQ6	B7ZAQ6	Golgi pH regulator (TC 1.A.38) family	GPHRA
B7ZBB8	B7ZBB8	Not available	PPP1R3G
B7ZM44	B7ZM44	PI3/PI4-kinase family, Type III PI4K subfamily	PIK3CD
C0HME6	C0HME6	Not available	RPL36
C4AMC7	C4AMC7	WASH1 family	WASH3P
C9JA26	C9JA26	Cytochrome P450 family	CYP3A43
C9JBD2	C9JBD2	Cytochrome P450 family	CYP3A4
C9JE40	C9JE40	PAT1 family	PATL2
C9JLW8	C9JLW8	MCRIP family	MCRIP1
C9JPK5	C9JPK5	Integrin beta chain family	ITGB1
C9JR72	C9JR72	Not available	KBTBD13
C9JRZ8	C9JRZ8	Aldo/keto reductase family	AKR1B15
C9JUK9	C9JUK9	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily; Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily	MAPK7
C9JYS6	C9JYS6	Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily	EGFR
C9JZQ0	C9JZQ0	Sirtuin family, Class I subfamily	SIRT2
D3DPA4	D3DPA4	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	ACVR1
D3W0D1	D3W0D1	Not available	KLRF2
D3YTC7	D3YTC7	Class VI-like SAM-binding methyltransferase superfamily, PEMT/PEM2 methyltransferase family	PEMT
D6RAD4	D6RAD4	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	CDK7
D6RGH6	D6RGH6	Geminin family	MCIDAS
E0CX11	E0CX11	STMP1 family	STMP1
E5KRP5	E5KRP5	AAA ATPase family, Spastin subfamily	SPAST
E5KRP6	E5KRP6	AAA ATPase family, Spastin subfamily	SPAST
E5RFU2	E5RFU2	AB hydrolase superfamily, Epoxide hydrolase family	EPHX2
E5RGN0	E5RGN0	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily; Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	CDK16
E7EMM4	E7EMM4	Acid ceramidase family	ASAH1
E7EMT5	E7EMT5	Cytochrome P450 family	CYP1A1
E7ERI8	E7ERI8	CLASP family	CLASP2
E7ETB9	E7ETB9	Not available	DST
E7EUF1	E7EUF1	Nucleotide pyrophosphatase/phosphodiesterase family	ENPP2
E7EUI6	E7EUI6	Integrin beta chain family	ITGB1
E7EUJ1	E7EUJ1	AB hydrolase superfamily, Lipase family	LIPC
E7EUK6	E7EUK6	AB hydrolase superfamily, Lipase family	LIPC
E7EW49	E7EW49	CLASP family	CLASP2
E7EWX6	E7EWX6	Sirtuin family, Class I subfamily	SIRT2
E9KL44	E9KL44	Enoyl-CoA hydratase/isomerase family; Enoyl-CoA hydratase/isomerase family; 3-hydroxyacyl-CoA dehydrogenase family	Not available
E9KL49	E9KL49	Eukaryotic diacylglycerol kinase family	Not available
E9LUE8	E9LUE8	Acid sphingomyelinase family	SMPD1
E9PBK7	E9PBK7	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily; Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily	MAPK3
E9PC15	E9PC15	AGK family	AGK
E9PFG0	E9PFG0	Zinc-containing alcohol dehydrogenase family, Class-IV subfamily	ADH7
E9PFT5	E9PFT5	P53 family	TP53
E9PFV2	E9PFV2	Nuclear hormone receptor family, NR1 subfamily	PPARG
E9PG39	E9PG39	AGK family	AGK
E9PG40	E9PG40	APP family	APP
E9PHM6	E9PHM6	Not available	DST
E9PJF0	E9PJF0	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily; Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily	MAPK3
E9PJF3	E9PJF3	FMO family	FMO5
E9PJG7	E9PJG7	Peptidase A1 family	BACE1
E9PKE3	E9PKE3	Heat shock protein 70 family	HSPA8
E9PM00	E9PM00	ERG4/ERG24 family	DHCR7
E9PNE6	E9PNE6	Heat shock protein 70 family	HSPA8
E9PNL8	E9PNL8	Eukaryotic diacylglycerol kinase family	DGKZ
E9PQW4	E9PQW4	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily; Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily	MAPK3
E9PQX1	E9PQX1	Not available	CATSPERH
F1D8N4	F1D8N4	Nuclear hormone receptor family, NR3 subfamily	NR3C1
F1D8S3	F1D8S3	Nuclear hormone receptor family, NR1 subfamily	NR1D1
F1D8S4	F1D8S4	Nuclear hormone receptor family, NR1 subfamily	NR1C1
F1DAL1	F1DAL1	Nuclear hormone receptor family, NR1 subfamily	NR1H4
F1T0F8	F1T0F8	Paired homeobox family	PAX6
F2Z3J9	F2Z3J9	NADP-dependent oxidoreductase L4BD family	PTGR1
F5H039	F5H039	MoeA family; MoeA family; MoaB/Mog family	GPHN
F5H094	F5H094	Organo anion transporter (TC 2.A.60) family	SLCO1B3-SLCO1B7
F6KD01	F6KD01	PTEN phosphatase protein family	PTEN
F6QMI7	F6QMI7	Not available	DST
F8VPD4	F8VPD4	CarB family; Metallo-dependent hydrolases superfamily, DHOase family, CAD subfamily; Aspartate/ornithine carbamoyltransferase superfamily, ATCase family; CarA family	CAD
F8W6H5	F8W6H5	Not available	ENPP3
F8W9J4	F8W9J4	Not available	DST
F8W9P4	F8W9P4	PI3/PI4-kinase family, Type III PI4K subfamily	PIK3CD
F8WA11	F8WA11	CLASP family	CLASP1
F8WEZ8	F8WEZ8	Glutamate-gated ion channel (TC 1.A.10.1) family	GRIK2
G2XKQ0	G2XKQ0	Ubiquitin family, SUMO subfamily	SUMO1P1
G3V4E1	G3V4E1	Eukaryotic diacylglycerol kinase family	DGKA
G4WMG7	G4WMG7	Not available	PNPLA2
G5E9A7	G5E9A7	Not available	DMWD
H0Y4Z7	H0Y4Z7	Carnitine/choline acetyltransferase family	CRAT
H0YA20	H0YA20	Eukaryotic diacylglycerol kinase family	DGKQ
H0YBL1	H0YBL1	Inositol monophosphatase superfamily	IMPA1
H0YE57	H0YE57	ERG4/ERG24 family	DHCR7
H0YFD6	H0YFD6	Enoyl-CoA hydratase/isomerase family; Enoyl-CoA hydratase/isomerase family; 3-hydroxyacyl-CoA dehydrogenase family	HADHA
H0YL14	H0YL14	Not available	TMEM250
H0YM92	H0YM92	LDLR family	LDLR
H0YMD1	H0YMD1	LDLR family	LDLR
H2EHT1	H2EHT1	P53 family	TP53
H3BS89	H3BS89	TMEM178 family	TMEM178B
H3BV60	H3BV60	Not available	TGFBR3L
H7BYX7	H7BYX7	'GDSL' lipolytic enzyme family, Phospholipase B1 subfamily	PLB1
H7BZW4	H7BZW4	'GDSL' lipolytic enzyme family, Phospholipase B1 subfamily	PLB1
H7C012	H7C012	'GDSL' lipolytic enzyme family, Phospholipase B1 subfamily	PLB1
H7C0D0	H7C0D0	Cytochrome P450 family	CYP51A1
H7C4K3	H7C4K3	Integrin beta chain family	ITGB1
H7C517	H7C517	Adenylate kinase family	AK9
I3L4X2	I3L4X2	ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily	ABCC1
I3UJJ7	I3UJJ7	Peptidase M2 family	ACE
I6L9F6	I6L9F6	Not available	NEFL
J3KMZ9	J3KMZ9	LDLR family	LDLR
J3KQ12	J3KQ12	Not available	BSCL2
J3KS28	J3KS28	Peptidase M2 family	ACE
J3KTE1	J3KTE1	AB hydrolase superfamily, AB hydrolase 4 family	ABHD3
J3KTH9	J3KTH9	Peptidase M2 family	ACE
J3QLU9	J3QLU9	Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily	ERBB2
K7EJ46	K7EJ46	Not available	SMIM22
K7ELW0	K7ELW0	Peptidase C56 family	PARK7
K7EN27	K7EN27	Peptidase C56 family	PARK7
K7PPA8	K7PPA8	P53 family	TP53
K9JA46	K9JA46	Heat shock protein 90 family	EL52
K9M1U5	K9M1U5	Type-III (or lambda) interferon family	IFNL4
L0R8F8	L0R8F8	Complex I LYR family	MIEF1
L7NSP5	L7NSP5	Not available	ATGL
L7RXH5	L7RXH5	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily; Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily	MAPK3
M0QX44	M0QX44	Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family	SLC1A5
M0QXM4	M0QXM4	Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family	SLC1A5
M0QY29	M0QY29	'GDXG' lipolytic enzyme family	LIPE
M0R201	M0R201	'GDXG' lipolytic enzyme family	LIPE
M0R2J8	M0R2J8	Not available	DCDC1
M5A8F1	M5A8F1	Not available	ERVH48-1
O00115	O00115	DNase II family	DNASE2
O00116	O00116	FAD-binding oxidoreductase/transferase type 4 family	AGPS
O00124	O00124	Not available	UBXN8
O00139	O00139	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, MCAK/KIF2 subfamily	KIF2A
O00141	O00141	Protein kinase superfamily, AGC Ser/Thr protein kinase family	SGK1
O00142	O00142	DCK/DGK family	TK2
O00144	O00144	G protein-coupled receptor Fz/Smo family	FZD9
O00148	O00148	DEAD box helicase family, DECD subfamily	DDX39A
O00151	O00151	Not available	PDLIM1
O00154	O00154	Not available	ACOT7
O00154-4	O00154	Not available	ACOT7
O00155	O00155	G protein-coupled receptor 1 family	GPR25
O00159	O00159	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	MYO1C
O00160	O00160	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	MYO1F
O00161	O00161	SNAP-25 family	SNAP23
O00165	O00165	HAX1 family	HAX1
O00167	O00167	HAD-like hydrolase superfamily, EYA family	EYA2
O00167-2	O00167	HAD-like hydrolase superfamily, EYA family	EYA2
O00168	O00168	FXYD family	FXYD1
O00170	O00170	Not available	AIP
O00175	O00175	Intercrine beta (chemokine CC) family	CCL24
O00178	O00178	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, GTPBP1 subfamily	GTPBP1
O00180	O00180	Two pore domain potassium channel (TC 1.A.1.8) family	KCNK1
O00182	O00182	Not available	LGALS9
O00186	O00186	STXBP/unc-18/SEC1 family	STXBP3
O00187	O00187	Peptidase S1 family	MASP2
O00189	O00189	Adaptor complexes medium subunit family	AP4M1
O00192	O00192	Beta-catenin family	ARVCF
O00194	O00194	Small GTPase superfamily, Rab family	RAB27B
O00198	O00198	Not available	HRK
O00203	O00203	Adaptor complexes large subunit family	AP3B1
O00204	O00204	Sulfotransferase 1 family	SULT2B1
O00206	O00206	Toll-like receptor family	TLR4
O00212	O00212	Small GTPase superfamily, Rho family	RHOD
O00213	O00213	Not available	APBB1
O00214	O00214	Not available	LGALS8
O00217	O00217	Complex I 23 kDa subunit family	NDUFS8
O00219	O00219	NodC/HAS family	HAS3
O00220	O00220	Not available	TNFRSF10A
O00221	O00221	NF-kappa-B inhibitor family	NFKBIE
O00222	O00222	G protein-coupled receptor 3 family	GRM8
O00230	O00230	Somatostatin family	CORT
O00231	O00231	Proteasome subunit S9 family	PSMD11
O00232	O00232	Proteasome subunit p55 family	PSMD12
O00233	O00233	Proteasome subunit p27 family	PSMD9
O00237	O00237	Not available	RNF103
O00238	O00238	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	BMPR1B
O00241	O00241	Not available	SIRPB1
O00244	O00244	ATX1 family	ATOX1
O00253	O00253	Not available	AGRP
O00254	O00254	G protein-coupled receptor 1 family	F2RL2
O00255	O00255	Not available	MEN1
O00257	O00257	Not available	CBX4
O00258	O00258	WRB/GET1 family	GET1
O00264	O00264	Cytochrome b5 family, MAPR subfamily	PGRMC1
O00267	O00267	SPT5 family	SUPT5H
O00268	O00268	TAF4 family	TAF4
O00270	O00270	G protein-coupled receptor 1 family	GPR31
O00273	O00273	Not available	DFFA
O00287	O00287	Not available	RFXAP
O00291	O00291	SLA2 family	HIP1
O00292	O00292	TGF-beta family	LEFTY2
O00294	O00294	TUB family	TULP1
O00299	O00299	Chloride channel CLIC family	CLIC1
O00300	O00300	Not available	TNFRSF11B
O00303	O00303	EIF-3 subunit F family	EIF3F
O00305	O00305	Calcium channel beta subunit family	CACNB4
O00308	O00308	Not available	WWP2
O00311	O00311	Protein kinase superfamily, Ser/Thr protein kinase family, CDC7 subfamily	CDC7
O00322	O00322	Tetraspanin (TM4SF) family	UPK1A
O00327	O00327	Not available	BMAL1
O00329	O00329	PI3/PI4-kinase family	PIK3CD
O00330	O00330	2-oxoacid dehydrogenase family	PDHX
O00337	O00337	Concentrative nucleoside transporter (CNT) (TC 2.A.41) family	SLC28A1
O00338	O00338	Sulfotransferase 1 family	SULT1C2
O00339	O00339	Not available	MATN2
O00341	O00341	Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A7 subfamily	SLC1A7
O00358	O00358	Not available	FOXE1
O00370	O00370	Not available	Not available
O00391	O00391	Quiescin-sulfhydryl oxidase (QSOX) family	QSOX1
O00399	O00399	Dynactin subunits 5/6 family, Dynactin subunit 6 subfamily	DCTN6
O00400	O00400	SLC33A transporter family	SLC33A1
O00401	O00401	Not available	WASL
O00408	O00408	Cyclic nucleotide phosphodiesterase family, PDE2 subfamily	PDE2A
O00409	O00409	Not available	FOXN3
O00410	O00410	Importin beta family, Importin beta-3 subfamily	IPO5
O00411	O00411	Phage and mitochondrial RNA polymerase family	POLRMT
O00418	O00418	Protein kinase superfamily, Alpha-type protein kinase family	EEF2K
O00421	O00421	G protein-coupled receptor 1 family	CCRL2
O00422	O00422	SAP18 family	SAP18
O00423	O00423	WD repeat EMAP family	EML1
O00425	O00425	RRM IMP/VICKZ family	IGF2BP3
O00429	O00429	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family	DNM1L
O00442	O00442	RNA 3'-terminal cyclase family, Type 1 subfamily	RTCA
O00443	O00443	PI3/PI4-kinase family	PIK3C2A
O00444	O00444	Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily	PLK4
O00445	O00445	Synaptotagmin family	SYT5
O00451	O00451	GDNFR family	GFRA2
O00453	O00453	LST1 family	LST1
O00459	O00459	PI3K p85 subunit family	PIK3R2
O00461	O00461	GOLIM4 family	GOLIM4
O00462	O00462	Glycosyl hydrolase 2 family	MANBA
O00463	O00463	TNF receptor-associated factor family, A subfamily	TRAF5
O00468	O00468	Not available	AGRN
O00469	O00469	Not available	PLOD2
O00470	O00470	TALE/MEIS homeobox family	MEIS1
O00471	O00471	SEC10 family	EXOC5
O00472	O00472	ELL/occludin family	ELL2
O00476	O00476	Major facilitator superfamily, Sodium/anion cotransporter family	SLC17A3
O00478	O00478	Immunoglobulin superfamily, BTN/MOG family	BTN3A3
O00481	O00481	Immunoglobulin superfamily, BTN/MOG family	BTN3A1
O00482	O00482	Nuclear hormone receptor family, NR5 subfamily	NR5A2
O00483	O00483	Complex IV COXFA4 subunit family	COXFA4
O00487	O00487	Peptidase M67A family, PSMD14 subfamily	PSMD14
O00488	O00488	ZNF593/BUD20 C2H2-type zinc-finger protein family	ZNF593
O00499	O00499	Not available	BIN1
O00501	O00501	Claudin family	CLDN5
O00505	O00505	Importin alpha family	KPNA3
O00506	O00506	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	STK25
O00507	O00507	Peptidase C19 family	USP9Y
O00512	O00512	BCL9 family	BCL9
O00519	O00519	Amidase family	FAAH
O00522	O00522	Not available	KRIT1
O00526	O00526	Uroplakin-2 family	UPK2
O00533	O00533	Immunoglobulin superfamily, L1/neurofascin/NgCAM family	CHL1
O00541	O00541	Pescadillo family	PES1
O00548	O00548	Not available	DLL1
O00555	O00555	Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1A subfamily	CACNA1A
O00559	O00559	Not available	EBAG9
O00560	O00560	Not available	SDCBP
O00562	O00562	PtdIns transfer protein family, PI transfer class IIA subfamily	PITPNM1
O00566	O00566	MPP10 family	MPHOSPH10
O00567	O00567	NOP5/NOP56 family	NOP56
O00571	O00571	DEAD box helicase family, DDX3/DED1 subfamily	DDX3X
O00574	O00574	G protein-coupled receptor 1 family	CXCR6
O00584	O00584	RNase T2 family	RNASET2
O00585	O00585	Intercrine beta (chemokine CC) family	CCL21
O00587	O00587	Glycosyltransferase 31 family	MFNG
O00590	O00590	G protein-coupled receptor 1 family, Atypical chemokine receptor subfamily	ACKR2
O00591	O00591	Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRP sub-subfamily	GABRP
O00592	O00592	Podocalyxin family	PODXL
O00602	O00602	Ficolin lectin family	FCN1
O00622	O00622	CCN family	CCN1
O00623	O00623	Pex2/pex10/pex12 family	PEX12
O00624	O00624	Major facilitator superfamily, Sodium/anion cotransporter family	SLC17A2
O00625	O00625	Pirin family	PIR
O00626	O00626	Intercrine beta (chemokine CC) family	CCL22
O00628	O00628	WD repeat peroxin-7 family	PEX7
O00629	O00629	Importin alpha family	KPNA4
O00631	O00631	Sarcolipin family	SLN
O00635	O00635	Not available	TRIM38
O00712	O00712	CTF/NF-I family	NFIB
O00716	O00716	E2F/DP family	E2F3
O00743	O00743	PPP phosphatase family, PP-6 (PP-V) subfamily	PPP6C
O00744	O00744	Wnt family	WNT10B
O00746	O00746	NDK family	NME4
O00748	O00748	Type-B carboxylesterase/lipase family	CES2
O00750	O00750	PI3/PI4-kinase family	PIK3C2B
O00754	O00754	Glycosyl hydrolase 38 family	MAN2B1
O00755	O00755	Wnt family	WNT7A
O00757	O00757	FBPase class 1 family	FBP2
O00762	O00762	Ubiquitin-conjugating enzyme family	UBE2C
O00763	O00763	Not available	ACACB
O00764	O00764	Pyridoxine kinase family	PDXK
O00767	O00767	Fatty acid desaturase type 1 family	SCD
O14490	O14490	SAPAP family	DLGAP1
O14492	O14492	SH2B adapter family	SH2B2
O14493	O14493	Claudin family	CLDN4
O14494	O14494	PA-phosphatase related phosphoesterase family	PLPP1
O14495	O14495	PA-phosphatase related phosphoesterase family	PLPP3
O14497	O14497	Not available	ARID1A
O14503	O14503	Not available	BHLHE40
O14508	O14508	Not available	SOCS2
O14511	O14511	Neuregulin family	NRG2
O14512	O14512	Not available	SOCS7
O14513	O14513	Not available	NCKAP5
O14514	O14514	G protein-coupled receptor 2 family, LN-TM7 subfamily	ADGRB1
O14519	O14519	CDK2AP family	CDK2AP1
O14520	O14520	MIP/aquaporin (TC 1.A.8) family	AQP7
O14521	O14521	CybS family	SDHD
O14522	O14522	Protein-tyrosine phosphatase family, Receptor class 2B subfamily	PTPRT
O14523	O14523	Not available	C2CD2L
O14524	O14524	NEMP family	NEMP1
O14524-2	O14524	NEMP family	NEMP1
O14525	O14525	Astrotactin family	ASTN1
O14526	O14526	FCHO family	FCHO1
O14529	O14529	CUT homeobox family	CUX2
O14530	O14530	Not available	TXNDC9
