Gene ID,Entrez ID,chromosome,start,end,width,strand,transcript_id,bioType,Aliases,p_id,Description
ACOT2,10965,chr14,74034324,74042362,2408,+,NR_046028,protein_coding,CTE1A|MTE1|PTE2|PTE2A|ZAP128,.,acyl-CoA thioesterase 2
ACOT4,122970,chr14,74058410,74062470,1632,+,NM_152331,protein_coding,PTE-Ib|PTE1B|PTE2B,P36239,acyl-CoA thioesterase 4
ACOT6,641372,chr14,74083548,74086592,1004,+,NM_001037162,protein_coding,C14orf42|MGC161656|MGC161658|c14_5530,P20079,acyl-CoA thioesterase 6
ACOT7,11332,chr1,6324332,6453826,2389,-,NM_007274,protein_coding,ACH1|ACT|BACH|CTE-II|LACH|LACH1|MGC1126|RP1-120G22.10|hBACH,P24912,acyl-CoA thioesterase 7
ACOT8,10005,chr20,44470360,44486048,1171,-,NM_005469,protein_coding,HNAACTE|PTE-2|PTE1|PTE2|hACTE-III|hTE,P29918,acyl-CoA thioesterase 8
ACOT9,23597,chrX,23721777,23761407,1727,-,NM_001033583,protein_coding,ACATE2|MT-ACT48,P17156,acyl-CoA thioesterase 9
ACOX1,51,chr17,73937589,73975515,8389,-,NM_007292,protein_coding,ACOX|MGC1198|PALMCOX|SCOX,P572,"acyl-CoA oxidase 1, palmitoyl"
ACOX2,8309,chr3,58490863,58522929,2309,-,NM_003500,protein_coding,BCOX|BRCACOX|BRCOX|THCCox,P19641,"acyl-CoA oxidase 2, branched chain"
ACOX3,8310,chr4,8368009,8442452,2874,-,NM_003501,protein_coding,.,P21423,"acyl-CoA oxidase 3, pristanoyl"
ACOXL,55289,chr2,111490150,111875799,2373,+,NM_001142807,protein_coding,FLJ11042,P6660,acyl-CoA oxidase-like
ACP1,52,chr2,264869,278282,1580,+,NM_004300,protein_coding,HAAP|MGC111030|MGC3499,P30160,"acid phosphatase 1, soluble"
ACP2,53,chr11,47260853,47270398,2288,-,NM_001610,protein_coding,.,P8273,"acid phosphatase 2, lysosomal"
ACP5,54,chr19,11685475,11689801,1631,-,NM_001111036,protein_coding,MGC117378|TRAP,P31386,"acid phosphatase 5, tartrate resistant"
ACP6,51205,chr1,147119168,147142634,1808,-,NM_016361,protein_coding,ACPL1|LPAP|PACPL1,P2187,"acid phosphatase 6, lysophosphatidic"
ACPP,55,chr3,132036211,132087146,1827,+,NM_001134194,protein_coding,ACP-3|ACP3|PAP,P22174,"acid phosphatase, prostate"
ACPT,93650,chr19,51293672,51298481,1347,+,NM_033068,protein_coding,.,P18212,"acid phosphatase, testicular"
ACR,49,chr22,51176652,51183727,1370,+,NM_001097,protein_coding,.,P31005,acrosin
ACRBP,84519,chr12,6747242,6756580,1886,-,NM_032489,protein_coding,CT23|FLJ51160|OY-TES-1|SP32,P25666,acrosin binding protein
ACRC,93953,chrX,70797874,70833433,3178,+,NM_052957,.,NAAR1,P1286,acidic repeat containing
ACRV1,56,chr11,125542229,125550793,1409,-,NM_020069,protein_coding,D11S4365|SP-10|SPACA2,P10563,acrosomal vesicle protein 1
ACSBG1,23205,chr15,78463187,78527049,2968,-,NM_001199377,protein_coding,BG1|BGM|FLJ30320|GR-LACS|KIAA0631|MGC14352|hBG1|hsBG,P8940,acyl-CoA synthetase bubblegum family member 1
ACSBG2,81616,chr19,6135644,6193114,2783,+,NM_001289180,protein_coding,BGR|BRGL|DKFZp434K1635|MGC111089|PRTD-NY3|PRTDNY3,P13455,acyl-CoA synthetase bubblegum family member 2
ACSF2,80221,chr17,48503519,48552206,2371,+,NM_001288968,protein_coding,ACSMW|AVYV493|FLJ20920,P17220,acyl-CoA synthetase family member 2
ACSF3,197322,chr16,89160217,89222254,4427,+,NM_001284316,protein_coding,FLJ39242,P30484,acyl-CoA synthetase family member 3
ACSL1,2180,chr4,185676749,185747268,4743,-,NM_001286708,protein_coding,ACS1|FACL1|FACL2|LACS|LACS1|LACS2,P2125,acyl-CoA synthetase long-chain family member 1
ACSL3,2181,chr2,223725732,223808119,4361,+,NM_203372,protein_coding,ACS3|FACL3|PRO2194,P9957,acyl-CoA synthetase long-chain family member 3
ACSL4,2182,chrX,108884564,108976621,5041,-,NM_022977,protein_coding,ACS4|FACL4|LACS4|MRX63|MRX68,P26514,acyl-CoA synthetase long-chain family member 4
ACSL5,51703,chr10,114133916,114188138,3744,+,NM_203379,protein_coding,ACS2|ACS5|FACL5,P13750,acyl-CoA synthetase long-chain family member 5
ACSL6,23305,chr5,131285667,131347761,6990,-,NM_001205247,protein_coding,ACS2|FACL6|FLJ16173|KIAA0837|LACS 6|LACS2|LACS5,P14756,acyl-CoA synthetase long-chain family member 6
ACSM1,116285,chr16,20634559,20702578,2051,-,NM_052956,protein_coding,BUCS1|MACS1|MGC150532,P25956,acyl-CoA synthetase medium-chain family member 1
ACSM2A,123876,chr16,20462783,20498991,3567,+,NM_001308954,protein_coding,A-923A4.1|ACSM2|FLJ34659|MGC150530,P32522,acyl-CoA synthetase medium-chain family member 2A
ACSM2B,348158,chr16,20548083,20587695,2441,-,NM_001105069,protein_coding,ACSM2|HXMA,P8823,acyl-CoA synthetase medium-chain family member 2B
ACSM3,6296,chr16,20775312,20808479,2133,+,NM_202000,protein_coding,SA|SAH,P12974,acyl-CoA synthetase medium-chain family member 3
ACSM4,341392,chr12,7456928,7480969,1743,+,NM_001080454,protein_coding,.,P6408,acyl-CoA synthetase medium-chain family member 4
ACSM5,54988,chr16,20420856,20452281,2419,+,NM_017888,protein_coding,FLJ20581,P2933,acyl-CoA synthetase medium-chain family member 5
ACSM6,142827,chr10,96953957,96988686,1713,+,NM_207321,protein_coding,.,P18741,acyl-CoA synthetase medium-chain family member 6
ACSS1,84532,chr20,24986866,25038818,3081,-,NM_001252677,protein_coding,ACAS2L|AceCS2L|FLJ45659|MGC33843,P29177,acyl-CoA synthetase short-chain family member 1
ACSS2,55902,chr20,33462766,33515769,3193,+,NM_001242393,protein_coding,ACAS2|ACECS|ACS|ACSA|DKFZp762G026|dJ1161H23.1,P1950,acyl-CoA synthetase short-chain family member 2
ACSS3,79611,chr12,81471809,81649582,3033,+,NM_024560,protein_coding,FLJ21963,P22805,acyl-CoA synthetase short-chain family member 3
ACTA1,58,chr1,229566993,229569843,1492,-,NM_001100,protein_coding,ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3,P30994,"actin, alpha 1, skeletal muscle"
ACTA2,59,chr10,90694831,90751147,1851,-,NM_001141945,protein_coding,AAT6|ACTSA,P21140,"actin, alpha 2, smooth muscle, aorta"
ACTA2-AS1,100132116,chr10,90692441,90699731,2043,+,NR_125373,lncRNA,.,.,ACTA2 antisense RNA 1
ACTB,60,chr7,5566779,5570232,1812,-,NM_001101,protein_coding,PS1TP5BP1,P5322,"actin, beta"
ACTBL2,345651,chr5,56775843,56778636,2794,-,NM_001017992,protein_coding,ACT|DKFZp686D0972,P31012,"actin, beta-like 2"
ACTC1,70,chr15,35080297,35087927,3693,-,NM_005159,protein_coding,ACTC|ASD5|CMD1R|CMH11|LVNC4,P28706,"actin, alpha, cardiac muscle 1"
ACTG1,71,chr17,79476997,79479892,2089,-,NR_037688,protein_coding,ACT|ACTG|DFNA20|DFNA26,.,actin gamma 1
ACTG1P17,283693,chr15,83394650,83408532,1652,-,NR_036446,misc_RNA,.,.,actin gamma 1 pseudogene 17
ACTG1P20,644961,chr1,27650365,27653016,2652,+,NR_033926,misc_RNA,.,.,actin gamma 1 pseudogene 20
ACTG1P4,648740,chr1,104112026,104114008,1983,+,NR_024438,misc_RNA,.,.,actin gamma 1 pseudogene 4
ACTG2,72,chr2,74120093,74146780,1331,+,NM_001615,protein_coding,ACT|ACTA3|ACTE|ACTL3|ACTSG,P23691,"actin, gamma 2, smooth muscle, enteric"
ACTL10,170487,chr20,32254304,32256331,2028,+,NM_001024675,protein_coding,.,P29962,actin like 10
ACTL6A,86,chr3,179280668,179306193,1754,+,NM_177989,protein_coding,ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|MGC5382,P2640,actin like 6A
ACTL6B,51412,chr7,100240726,100254084,1531,-,NM_016188,protein_coding,ACTL6|BAF53B,P16818,actin like 6B
ACTL7A,10881,chr9,111624508,111626035,1528,+,NM_006687,protein_coding,.,P17012,actin like 7A
ACTL7B,10880,chr9,111616869,111618275,1407,-,NM_006686,protein_coding,Tact1,P10340,actin like 7B
ACTL8,81569,chr1,18081808,18153558,1861,+,NM_030812,protein_coding,CT57,P9423,actin like 8
ACTL9,284382,chr19,8807747,8809180,1434,-,NM_178525,protein_coding,MGC33407,P33057,actin like 9
ACTN1,87,chr14,69340840,69446083,3791,-,NM_001130005,protein_coding,FLJ40884|FLJ54432,P3535,actinin alpha 1
ACTN1-AS1,161159,chr14,69446399,69454180,599,+,NR_073422,lncRNA,.,.,ACTN1 antisense RNA 1
ACTN2,88,chr1,236849754,236927927,5110,+,NM_001278343,protein_coding,CMD1AA,P15513,actinin alpha 2
ACTN3,89,chr11,66313866,66330800,3331,+,NM_001258371,protein_coding,MGC117002|MGC117005,P29802,actinin alpha 3 (gene/pseudogene)
ACTN4,81,chr19,39138267,39221171,3954,+,NM_004924,protein_coding,ACTININ-4|DKFZp686K23158|FSGS|FSGS1,P5331,actinin alpha 4
ACTR10,55860,chr14,58666833,58702353,2441,+,NM_018477,protein_coding,ACTR11|Arp11|HARP11,P30740,actin-related protein 10 homolog
ACTR1A,10121,chr10,104238986,104262512,2873,-,NM_005736,protein_coding,ARP1|CTRN1|FLJ52695|FLJ52800|FLJ55002,P36064,"ARP1 actin-related protein 1 homolog A, centractin alpha"
ACTR1B,10120,chr2,98272402,98280561,2258,-,NM_005735,protein_coding,ARP1B|CTRN2|PC3,P9065,"ARP1 actin-related protein 1 homolog B, centractin beta"
ACTR2,10097,chr2,65454829,65498390,3937,+,NM_005722,protein_coding,ARP2,P17927,ARP2 actin-related protein 2 homolog (yeast)
ACTR3,10096,chr2,114647511,114719129,5881,+,NM_005721,protein_coding,ARP3,P9849,ARP3 actin-related protein 3 homolog (yeast)
ACTR3B,57180,chr7,152456834,152552464,2217,+,NM_001040135,protein_coding,ARP11|ARP3BETA|DKFZp686O24114,P30912,ARP3 actin-related protein 3 homolog B (yeast)
ACTR3BP2,440888,chr2,92129159,92130496,1338,+,NR_027714,misc_RNA,FKSG73,.,ACTR3B pseudogene 2
ACTR3BP5,399746,chr10,38989727,38991371,1645,+,NR_045000,misc_RNA,FKSG74,.,ACTR3B pseudogene 5
ACTR3C,653857,chr7,149944301,150020758,1420,-,NM_001164459,protein_coding,ARP11,P31889,ARP3 actin-related protein 3 homolog C
ACTR5,79913,chr20,37377097,37401089,2479,+,NM_024855,protein_coding,Arp5|FLJ12785|INO80M,P1913,ARP5 actin-related protein 5 homolog
ACTR6,64431,chr12,100593865,100618202,2608,+,NM_022496,protein_coding,ARP6|FLJ13433|HSPC281|MSTP136|hARP6|hARPX,P31955,ARP6 actin-related protein 6 homolog
ACTR8,93973,chr3,53901094,53916229,3628,-,NM_022899,protein_coding,ARP8|FLJ12934|FLJ22579|INO80N,P8541,ARP8 actin-related protein 8 homolog
ACTRT1,139741,chrX,127184941,127186382,1442,-,NM_138289,protein_coding,AIP1|ARIP1|ARPT1|HSD27|KIAA0705|MGC26590,P15418,actin related protein T1
ACTRT2,140625,chr1,2938046,2939467,1422,+,NM_080431,protein_coding,ARPM2|ARPT2|Arp-T2|FLJ25424|HARPM2,P21755,actin related protein T2
ACTRT3,84517,chr3,169484711,169487683,2003,-,NM_032487,protein_coding,.,P28215,actin related protein T3
ACVR1,90,chr2,158592958,158732374,3112,-,NM_001111067,protein_coding,ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI,P29591,activin A receptor type 1
ACVR1B,91,chr12,52345451,52390863,4807,+,NM_004302,protein_coding,ACTRIB|ACVRLK4|ALK4|SKR2,P13009,activin A receptor type 1B
ACVR1C,130399,chr2,158383279,158485399,9077,-,NM_001111032,protein_coding,ACVRLK7|ALK7,P16651,activin A receptor type 1C
ACVR2A,92,chr2,148602086,148688396,5722,+,NM_001278580,protein_coding,ACTRII|ACVR2,P5320,activin A receptor type 2A
ACVR2B,93,chr3,38495790,38534633,11373,+,NM_001106,protein_coding,ACTRIIB|ActR-IIB|MGC116908,P25463,activin A receptor type 2B
ACVR2B-AS1,100128640,chr3,38492518,38496311,2517,-,NR_028389,lncRNA,.,.,ACVR2B antisense RNA 1
ACVRL1,94,chr12,52301202,52317145,4470,+,NM_000020,protein_coding,ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I,P7544,activin A receptor like type 1
ACY1,95,chr3,52017300,52023218,1689,+,NM_001198895,protein_coding,ACY1D|ACYLASE,P20283,aminoacylase 1
ACY3,91703,chr11,67410026,67418130,1300,-,NM_080658,protein_coding,ACY-3|HCBP1|MGC9740,P31835,aminoacylase 3
ACYP1,97,chr14,75519928,75536186,1054,-,NR_126393,protein_coding,ACYPE,.,acylphosphatase 1
ACYP2,98,chr2,54342410,54532435,1222,+,NM_138448,protein_coding,ACYM|ACYP,P27368,acylphosphatase 2
ADA,100,chr20,43248163,43280376,1404,-,NM_000022,protein_coding,.,P33308,adenosine deaminase
ADAD1,132612,chr4,123300121,123350947,2445,+,NM_139243,protein_coding,FLJ32741|Tenr,P24245,adenosine deaminase domain containing 1
ADAD2,161931,chr16,84224723,84230772,2455,+,NM_139174,protein_coding,FLJ00337|TENRL,P29649,adenosine deaminase domain containing 2
ADAL,161823,chr15,43622554,43646753,4570,+,NM_001012969,protein_coding,DKFZp313B2137|FLJ44620,P5678,adenosine deaminase-like
ADAM10,102,chr15,58887403,59042177,5034,-,NM_001110,protein_coding,AD10|CD156c|HsT18717|MADM|kuz,P32644,ADAM metallopeptidase domain 10
ADAM11,4185,chr17,42836568,42859214,4402,+,NM_002390,protein_coding,MDC,P11603,ADAM metallopeptidase domain 11
ADAM12,8038,chr10,127700954,128077127,9010,-,NM_001288973,protein_coding,MCMP|MCMPMltna|MLTN|MLTNA,P26203,ADAM metallopeptidase domain 12
ADAM15,8751,chr1,155023748,155035252,3219,+,NM_001261465,protein_coding,MDC15,P6232,ADAM metallopeptidase domain 15
ADAM17,6868,chr2,9629411,9695917,3553,-,NM_003183,protein_coding,ADAM18|CD156B|CSVP|MGC71942|TACE,P6043,ADAM metallopeptidase domain 17
ADAM18,8749,chr8,39442087,39587583,2399,+,NM_014237,protein_coding,ADAM27|MGC41836|MGC88272|tMDCIII,P4966,ADAM metallopeptidase domain 18
ADAM19,8728,chr5,156904312,157002831,6529,-,NM_033274,protein_coding,MADDAM|MLTNB,P30964,ADAM metallopeptidase domain 19
ADAM1A,8759,chr12,112336867,112339706,2840,+,NR_036636,misc_RNA,.,.,ADAM metallopeptidase domain 1A (pseudogene)
ADAM2,2515,chr8,39601255,39695808,2772,-,NM_001464,protein_coding,CRYN1|CRYN2|CT15|FTNB|PH-30b|PH30,P32331,ADAM metallopeptidase domain 2
ADAM20,8748,chr14,70989078,71001732,2792,-,NM_003814,protein_coding,.,P4045,ADAM metallopeptidase domain 20
ADAM20P1,317760,chr14,70935596,70950473,3036,-,NR_037933,misc_RNA,.,.,ADAM metallopeptidase domain 20 pseudogene 1
ADAM21,8747,chr14,70918874,70926622,2664,+,NM_003813,protein_coding,ADAM 21|ADAM31|MGC125389,P25095,ADAM metallopeptidase domain 21
ADAM21P1,145241,chr14,70712470,70714518,2049,-,NR_003951,misc_RNA,ADAM21P,.,ADAM metallopeptidase domain 21 pseudogene 1
ADAM22,53616,chr7,87563566,87832204,9421,+,NM_021721,protein_coding,MDC2|MGC149832,P4973,ADAM metallopeptidase domain 22
ADAM23,8745,chr2,207308368,207485854,6225,+,NM_003812,protein_coding,MDC3,P3144,ADAM metallopeptidase domain 23
ADAM28,10863,chr8,24151553,24216531,7186,+,NM_001304351,protein_coding,ADAM 28|ADAM23|MDC-L|MDC-Lm|MDC-Ls|MDCL|eMDC II|eMDCII,P14067,ADAM metallopeptidase domain 28
ADAM29,11086,chr4,175839509,175899331,3440,+,NM_001278126,protein_coding,CT73|svph1,P15705,ADAM metallopeptidase domain 29
ADAM30,11085,chr1,120436156,120439147,2992,-,NM_021794,protein_coding,svph4,P25435,ADAM metallopeptidase domain 30
ADAM32,203102,chr8,38965050,39142436,2727,+,NM_145004,protein_coding,FLJ26299|FLJ29004,P30713,ADAM metallopeptidase domain 32
ADAM33,80332,chr20,3648620,3662778,3556,-,NM_001282447,protein_coding,C20orf153|DJ964F7.1|DKFZp434K0521|FLJ35308|FLJ36751|MGC149823|MGC71889,P34570,ADAM metallopeptidase domain 33
ADAM3A,1587,chr8,39308564,39380508,2671,-,NR_073423,misc_RNA,ADAM3|CYRN1|tMDCI,.,ADAM metallopeptidase domain 3A (pseudogene)
ADAM5,255926,chr8,39172182,39260375,1705,+,NR_001448,misc_RNA,.,.,ADAM metallopeptidase domain 5 (pseudogene)
ADAM6,8755,chr14,106435818,106438358,1843,-,NR_002224,misc_RNA,C14orf96|tMDCIV,.,ADAM metallopeptidase domain 6 (pseudogene)
ADAM7,8756,chr8,24298509,24367077,3396,+,NM_003817,protein_coding,EAPI|GP-83,P1405,ADAM metallopeptidase domain 7
ADAM8,101,chr10,135075920,135090407,3236,-,NM_001109,protein_coding,CD156|MGC134985|MS2,P23125,ADAM metallopeptidase domain 8
ADAM9,8754,chr8,38854505,38962779,4098,+,NM_003816,protein_coding,CORD9|KIAA0021|MCMP|MDC9|Mltng,P29528,ADAM metallopeptidase domain 9
ADAMDEC1,27299,chr8,24241798,24263526,2438,+,NM_001145271,protein_coding,FLJ79219|M12.219,P5466,"ADAM-like, decysin 1"
ADAMTS1,9510,chr21,28208606,28217728,4651,-,NM_006988,protein_coding,C3-C5|KIAA1346|METH1,P4724,ADAM metallopeptidase with thrombospondin type 1 motif 1
ADAMTS10,81794,chr19,8645124,8675620,4260,-,NM_030957,protein_coding,ADAM-TS10|WMS,P12360,ADAM metallopeptidase with thrombospondin type 1 motif 10
ADAMTS12,81792,chr5,33527287,33892124,4954,-,NM_030955,protein_coding,PRO4389,P32876,ADAM metallopeptidase with thrombospondin type 1 motif 12
ADAMTS13,11093,chr9,136279459,136324525,5159,+,NR_024514,protein_coding,C9orf8|DKFZp434C2322|FLJ42993|MGC118899|MGC118900|TTP|VWFCP|vWF-CP,.,ADAM metallopeptidase with thrombospondin type 1 motif 13
ADAMTS14,140766,chr10,72432559,72522195,5258,+,NM_080722,protein_coding,FLJ32820,P31777,ADAM metallopeptidase with thrombospondin type 1 motif 14
ADAMTS15,170689,chr11,130318869,130346539,5676,+,NM_139055,protein_coding,MGC126403,P12079,ADAM metallopeptidase with thrombospondin type 1 motif 15
ADAMTS16,170690,chr5,5140443,5320412,4974,+,NM_139056,protein_coding,ADAMTS16s|FLJ16731,P35205,ADAM metallopeptidase with thrombospondin type 1 motif 16
ADAMTS17,170691,chr15,100511643,100882183,6331,-,NM_139057,protein_coding,FLJ16363|FLJ32769,P2958,ADAM metallopeptidase with thrombospondin type 1 motif 17
ADAMTS18,170692,chr16,77316025,77469011,5913,-,NM_199355,protein_coding,ADAMTS21,P1631,ADAM metallopeptidase with thrombospondin type 1 motif 18
ADAMTS19,171019,chr5,128796103,129074376,5089,+,NM_133638,protein_coding,FLJ16042,P15152,ADAM metallopeptidase with thrombospondin type 1 motif 19
ADAMTS19-AS1,103689846,chr5,128795252,128796382,786,-,NR_125748,lncRNA,.,.,ADAMTS19 antisense RNA 1
ADAMTS2,9509,chr5,178537852,178772431,7070,-,NM_014244,protein_coding,ADAM-TS2|ADAMTS-2|ADAMTS-3|DKFZp686F12218|NPI|PC I-NP|PCI-NP|PCINP|PCPNI|PNPI,P2233,ADAM metallopeptidase with thrombospondin type 1 motif 2
ADAMTS20,80070,chr12,43748012,43945724,5522,-,NM_025003,protein_coding,ADAM-TS20|ADAMTS-20|GON-1,P13099,ADAM metallopeptidase with thrombospondin type 1 motif 20
ADAMTS3,9508,chr4,73146686,73434516,5822,-,NM_014243,protein_coding,ADAMTS-4|KIAA0366,P18564,ADAM metallopeptidase with thrombospondin type 1 motif 3
ADAMTS4,9507,chr1,161159538,161168845,4332,-,NM_005099,protein_coding,ADAMTS-2|ADAMTS-4|ADMP-1|KIAA0688,P6654,ADAM metallopeptidase with thrombospondin type 1 motif 4
ADAMTS5,11096,chr21,28290231,28339439,9663,-,NM_007038,protein_coding,ADAMTS11|ADMP-2|FLJ36738,P5662,ADAM metallopeptidase with thrombospondin type 1 motif 5
ADAMTS6,11174,chr5,64444563,64777704,7268,-,NM_197941,protein_coding,ADAM-TS 6|ADAM-TS6|ADAMTS-6,P20432,ADAM metallopeptidase with thrombospondin type 1 motif 6
ADAMTS7,11173,chr15,79051545,79103773,5490,-,NM_014272,protein_coding,ADAM-TS 7|ADAM-TS7|ADAMTS-7|DKFZp434H204,P2525,ADAM metallopeptidase with thrombospondin type 1 motif 7
ADAMTS7P1,390660,chr15,82585621,82924242,9966,+,NR_045529,misc_RNA,.,.,ADAMTS7 pseudogene 1
ADAMTS8,11095,chr11,130274818,130298539,3663,-,NM_007037,protein_coding,ADAM-TS8|FLJ41712|METH2,P7407,ADAM metallopeptidase with thrombospondin type 1 motif 8
ADAMTS9,56999,chr3,64501331,64673365,7312,-,NM_182920,protein_coding,FLJ42955|KIAA1312,P27598,ADAM metallopeptidase with thrombospondin type 1 motif 9
ADAMTS9-AS1,101929335,chr3,64547022,64575760,3930,+,NR_110150,lncRNA,.,.,ADAMTS9 antisense RNA 1
ADAMTS9-AS2,100507098,chr3,64670546,64997143,2228,+,NR_038264,lncRNA,.,.,ADAMTS9 antisense RNA 2
ADAMTSL1,92949,chr9,18474079,18910947,7842,+,NM_001040272,protein_coding,ADAMTSL-1|ADAMTSR1|C9orf94|DKFZp686L03130|FLJ35283|FLJ41032|FLJ46891|MGC118803|MGC118805|MGC40193|PUNCTIN,P1612,ADAMTS like 1
ADAMTSL2,9719,chr9,136397286,136440641,4133,+,NM_001145320,protein_coding,FLJ45164|KIAA0605,P32723,ADAMTS like 2
ADAMTSL3,57188,chr15,84322838,84708593,9414,+,NM_001301110,protein_coding,KIAA1233|MGC150716|MGC150717,P2397,ADAMTS like 3
ADAMTSL4,54507,chr1,150521845,150533412,4323,+,NM_019032,protein_coding,TSRC1,P10116,ADAMTS like 4
ADAMTSL4-AS1,574406,chr1,150533371,150547028,1036,-,NR_104133,lncRNA,.,.,ADAMTSL4 antisense RNA 1
ADAMTSL5,339366,chr19,1505017,1513188,2857,-,NM_213604,protein_coding,THSD6,P13607,ADAMTS like 5
ADAP1,11033,chr7,937537,995043,2706,-,NM_001284311,protein_coding,CENTA1|GCS1L|p42IP4,P18468,ArfGAP with dual PH domains 1
ADAP2,55803,chr17,29248754,29286211,2749,+,NM_018404,protein_coding,CENTA2|HSA272195|cent-b,P13662,ArfGAP with dual PH domains 2
ADAR,103,chr1,154554534,154600456,7183,-,NM_001111,protein_coding,ADAR1|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136,P30415,"adenosine deaminase, RNA-specific"
ADARB1,104,chr21,46494493,46646478,3706,+,NM_001160230,protein_coding,ADAR2|DRABA2|DRADA2|RED1,P12740,"adenosine deaminase, RNA specific B1"
ADARB2,105,chr10,1223253,1779670,8426,-,NM_018702,protein_coding,ADAR3|FLJ25034|FLJ36975|RED2|hRED2,P7411,"adenosine deaminase, RNA specific B2 (inactive)"
ADARB2-AS1,642394,chr10,1568825,1599179,644,+,NR_033387,lncRNA,.,.,ADARB2 antisense RNA 1
ADAT1,23536,chr16,75632247,75657221,3545,-,NR_036460,protein_coding,HADAT1,.,"adenosine deaminase, tRNA specific 1"
ADAT2,134637,chr6,143743969,143771841,7493,-,NM_182503,protein_coding,DEADC1|DKFZp686L1118|FLJ44213|TAD2|dJ20N2|dJ20N2.1,P19982,"adenosine deaminase, tRNA specific 2"
ADAT3,113179,chr19,1905371,1913446,1626,+,NM_138422,protein_coding,FWP005|MST121|MSTP121|S863-5|TAD3,P21973,"adenosine deaminase, tRNA specific 3"
ADCK1,57143,chr14,78266426,78400297,2234,+,NM_001142545,protein_coding,FLJ39600,P35024,aarF domain containing kinase 1
ADCK2,90956,chr7,140372953,140394908,2364,+,NM_052853,protein_coding,AARF|MGC20727,P7946,aarF domain containing kinase 2
ADCK3,56997,chr1,227127938,227175246,2924,+,NM_020247,.,.,P25206,aarF domain containing kinase 3
ADCK4,79934,chr19,41197434,41222790,2497,-,NM_001142555,.,FLJ12229,P23207,aarF domain containing kinase 4
